"site","year","block","plot","avg_annual_kg_h","paddock","drought","grazing_category","grazing_treatment","livestock_util_2019","livestock_util_2020","livestock_util_2021"
"FK",2018,1,1,1222,1,75,"MMMMM","stable",50,50,50
"FK",2018,1,2,913.5,1,99,"MMMMM","stable",50,50,50
"FK",2018,1,3,1984.5,1,0,"MMMMM","stable",50,50,50
"FK",2018,1,4,918,1,0,"MMMMM","stable",50,50,50
"FK",2018,1,5,804,1,50,"MMMMM","stable",50,50,50
"FK",2018,1,6,646.5,1,25,"MMMMM","stable",50,50,50
"FK",2018,1,7,597.5,2,0,"HHMMM","heavy",70,70,50
"FK",2018,1,8,968.5,2,75,"HHMMM","heavy",70,70,50
"FK",2018,1,9,450,2,0,"HHMMM","heavy",70,70,50
"FK",2018,1,10,680,2,99,"HHMMM","heavy",70,70,50
"FK",2018,1,11,513,2,50,"HHMMM","heavy",70,70,50
"FK",2018,1,12,748,2,25,"HHMMM","heavy",70,70,50
"FK",2018,1,13,484,3,50,"MLLMM","destock",50,30,30
"FK",2018,1,14,449.5,3,75,"MLLMM","destock",50,30,30
"FK",2018,1,15,318,3,0,"MLLMM","destock",50,30,30
"FK",2018,1,16,414,3,25,"MLLMM","destock",50,30,30
"FK",2018,1,17,636,3,0,"MLLMM","destock",50,30,30
"FK",2018,1,18,699.5,3,99,"MLLMM","destock",50,30,30
"FK",2018,2,19,699.5,1,50,"MLLMM","destock",50,30,30
"FK",2018,2,20,1432.5,1,0,"MLLMM","destock",50,30,30
"FK",2018,2,21,920,1,99,"MLLMM","destock",50,30,30
"FK",2018,2,22,833,1,75,"MLLMM","destock",50,30,30
"FK",2018,2,23,1102,1,0,"MLLMM","destock",50,30,30
"FK",2018,2,24,867.5,1,25,"MLLMM","destock",50,30,30
"FK",2018,2,25,904.5,2,0,"MMMMM","stable",50,50,50
"FK",2018,2,26,528.5,2,75,"MMMMM","stable",50,50,50
"FK",2018,2,27,307,2,50,"MMMMM","stable",50,50,50
"FK",2018,2,28,684.5,2,99,"MMMMM","stable",50,50,50
"FK",2018,2,29,485.5,2,0,"MMMMM","stable",50,50,50
"FK",2018,2,30,275,2,25,"MMMMM","stable",50,50,50
"FK",2018,2,31,660,3,99,"HHMMM","heavy",70,70,50
"FK",2018,2,32,1054.5,3,25,"HHMMM","heavy",70,70,50
"FK",2018,2,33,1082.5,3,75,"HHMMM","heavy",70,70,50
"FK",2018,2,34,1204.5,3,0,"HHMMM","heavy",70,70,50
"FK",2018,2,35,673.5,3,50,"HHMMM","heavy",70,70,50
"FK",2018,2,36,1580,3,0,"HHMMM","heavy",70,70,50
"FK",2018,3,37,894.5,1,75,"MLLMM","destock",50,30,30
"FK",2018,3,38,1147,1,25,"MLLMM","destock",50,30,30
"FK",2018,3,39,465.5,1,0,"MLLMM","destock",50,30,30
"FK",2018,3,40,1234.5,1,99,"MLLMM","destock",50,30,30
"FK",2018,3,41,345,1,0,"MLLMM","destock",50,30,30
"FK",2018,3,42,511,1,50,"MLLMM","destock",50,30,30
"FK",2018,3,43,853,2,0,"MMMMM","stable",50,50,50
"FK",2018,3,44,880,2,25,"MMMMM","stable",50,50,50
"FK",2018,3,45,888,2,50,"MMMMM","stable",50,50,50
"FK",2018,3,46,765.5,2,75,"MMMMM","stable",50,50,50
"FK",2018,3,47,906,2,99,"MMMMM","stable",50,50,50
"FK",2018,3,48,800,2,0,"MMMMM","stable",50,50,50
"FK",2018,3,49,474,3,50,"HHMMM","heavy",70,70,50
"FK",2018,3,50,822.5,3,25,"HHMMM","heavy",70,70,50
"FK",2018,3,51,886.5,3,99,"HHMMM","heavy",70,70,50
"FK",2018,3,52,655.5,3,0,"HHMMM","heavy",70,70,50
"FK",2018,3,53,1020.5,3,0,"HHMMM","heavy",70,70,50
"FK",2018,3,54,618,3,75,"HHMMM","heavy",70,70,50
"FK",2019,1,1,706,1,75,"MMMMM","stable",50,50,50
"FK",2019,1,2,456.5,1,99,"MMMMM","stable",50,50,50
"FK",2019,1,3,2225,1,0,"MMMMM","stable",50,50,50
"FK",2019,1,4,441,1,0,"MMMMM","stable",50,50,50
"FK",2019,1,5,355,1,50,"MMMMM","stable",50,50,50
"FK",2019,1,6,716,1,25,"MMMMM","stable",50,50,50
"FK",2019,1,7,617,2,0,"HHMMM","heavy",70,70,50
"FK",2019,1,8,290,2,75,"HHMMM","heavy",70,70,50
"FK",2019,1,9,361,2,0,"HHMMM","heavy",70,70,50
"FK",2019,1,10,253.5,2,99,"HHMMM","heavy",70,70,50
"FK",2019,1,11,435.5,2,50,"HHMMM","heavy",70,70,50
"FK",2019,1,12,693,2,25,"HHMMM","heavy",70,70,50
"FK",2019,1,13,306.5,3,50,"MLLMM","destock",50,30,30
"FK",2019,1,14,367,3,75,"MLLMM","destock",50,30,30
"FK",2019,1,15,643,3,0,"MLLMM","destock",50,30,30
"FK",2019,1,16,322,3,25,"MLLMM","destock",50,30,30
"FK",2019,1,17,211,3,0,"MLLMM","destock",50,30,30
"FK",2019,1,18,84.5,3,99,"MLLMM","destock",50,30,30
"FK",2019,2,19,893,1,50,"MLLMM","destock",50,30,30
