"date","year","month","site","plot","species","pct_green","block","paddock","drought","grazing_category","grazing_treatment","livestock_util_2019","livestock_util_2020","livestock_util_2021"
2019-05-15,2019,5,"FK",1,"BRAR",100,1,1,75,"MMMMM","stable",50,50,50
2019-05-15,2019,5,"FK",2,"BRAR",100,1,1,99,"MMMMM","stable",50,50,50
2019-05-15,2019,5,"FK",3,"BRAR",100,1,1,0,"MMMMM","stable",50,50,50
2019-05-15,2019,5,"FK",4,"BRAR",100,1,1,0,"MMMMM","stable",50,50,50
2019-05-15,2019,5,"FK",5,"BRAR",100,1,1,50,"MMMMM","stable",50,50,50
2019-05-15,2019,5,"FK",6,"BRAR",100,1,1,25,"MMMMM","stable",50,50,50
2019-05-15,2019,5,"FK",7,"BRAR",90,1,2,0,"HHMMM","heavy",70,70,50
2019-05-15,2019,5,"FK",8,"BRAR",100,1,2,75,"HHMMM","heavy",70,70,50
2019-05-15,2019,5,"FK",9,"BRAR",100,1,2,0,"HHMMM","heavy",70,70,50
2019-05-15,2019,5,"FK",10,"BRAR",90,1,2,99,"HHMMM","heavy",70,70,50
2019-05-15,2019,5,"FK",11,"BRAR",100,1,2,50,"HHMMM","heavy",70,70,50
2019-05-15,2019,5,"FK",12,"BRAR",100,1,2,25,"HHMMM","heavy",70,70,50
2019-05-15,2019,5,"FK",13,"BRAR",100,1,3,50,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",14,"BRAR",98,1,3,75,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",15,"BRAR",90,1,3,0,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",16,"BRAR",100,1,3,25,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",17,"BRAR",100,1,3,0,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",18,"BRAR",90,1,3,99,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",19,"BRAR",85,2,1,50,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",20,"BRAR",75,2,1,0,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",21,"BRAR",75,2,1,99,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",22,"BRAR",90,2,1,75,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",23,"BRAR",90,2,1,0,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",24,"BRAR",95,2,1,25,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",25,"BRAR",90,2,2,0,"MMMMM","stable",50,50,50
2019-05-15,2019,5,"FK",26,"BRAR",97,2,2,75,"MMMMM","stable",50,50,50
2019-05-15,2019,5,"FK",27,"BRAR",85,2,2,50,"MMMMM","stable",50,50,50
2019-05-15,2019,5,"FK",28,"BRAR",90,2,2,99,"MMMMM","stable",50,50,50
2019-05-15,2019,5,"FK",29,"BRAR",99,2,2,0,"MMMMM","stable",50,50,50
2019-05-15,2019,5,"FK",30,"BRAR",100,2,2,25,"MMMMM","stable",50,50,50
2019-05-15,2019,5,"FK",31,"BRAR",95,2,3,99,"HHMMM","heavy",70,70,50
2019-05-15,2019,5,"FK",32,"BRAR",90,2,3,25,"HHMMM","heavy",70,70,50
2019-05-15,2019,5,"FK",33,"BRAR",100,2,3,75,"HHMMM","heavy",70,70,50
2019-05-15,2019,5,"FK",34,"BRAR",100,2,3,0,"HHMMM","heavy",70,70,50
2019-05-15,2019,5,"FK",35,"BRAR",85,2,3,50,"HHMMM","heavy",70,70,50
2019-05-15,2019,5,"FK",36,"BRAR",100,2,3,0,"HHMMM","heavy",70,70,50
2019-05-15,2019,5,"FK",37,"BRAR",98,3,1,75,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",38,"BRAR",100,3,1,25,"MLLMM","destock",50,30,30
2019-05-15,2019,5,"FK",39,"BRAR",90,3,1,0,"MLLMM","destock",50,30,30
