month,year,month_year,Date,value,precip_mm,cumm,yr30
Jan,2019,Jan_2019,201901,0.29,7.366,7.366,345.44
Feb,2019,Feb_2019,201902,0.64,16.256,23.622,345.44
Mar,2019,Mar_2019,201903,0.44,11.176,34.798,345.44
Apr,2019,Apr_2019,201904,1.63,41.402,76.2,345.44
May,2019,May_2019,201905,3.03,76.962,153.162,345.44
Jun,2019,Jun_2019,201906,2.03,51.562,204.724,345.44
Jul,2019,Jul_2019,201907,3.86,98.044,302.768,345.44
Aug,2019,Aug_2019,201908,1.47,37.338,340.106,345.44
Sep,2019,Sep_2019,201909,3.7,93.98,434.086,345.44
Oct,2019,Oct_2019,201910,0.71,18.034,452.12,345.44
Nov,2019,Nov_2019,201911,0.59,14.986,467.106,345.44
Dec,2019,Dec_2019,201912,0.18,4.572,471.678,345.44
Jan,2020,Jan_2020,202001,0.28,7.112,7.112,345.44
Feb,2020,Feb_2020,202002,0.57,14.478,21.59,345.44
Mar,2020,Mar_2020,202003,0.19,4.826,26.416,345.44
Apr,2020,Apr_2020,202004,0.72,18.288,44.704,345.44
May,2020,May_2020,202005,2.25,57.15,101.854,345.44
Jun,2020,Jun_2020,202006,1.78,45.212,147.066,345.44
Jul,2020,Jul_2020,202007,1.28,32.512,179.578,345.44
Aug,2020,Aug_2020,202008,0.66,16.764,196.342,345.44
Sep,2020,Sep_2020,202009,0.68,17.272,213.614,345.44
Oct,2020,Oct_2020,202010,1.17,29.718,243.332,345.44
Nov,2020,Nov_2020,202011,0.23,5.842,249.174,345.44
Dec,2020,Dec_2020,202012,0.07,1.778,250.952,345.44
Jan,2021,Jan_2021,202101,0.31,7.874,7.874,345.44
Feb,2021,Feb_2021,202102,0.37,9.398,17.272,345.44
Mar,2021,Mar_2021,202103,0.22,5.588,22.86,345.44
Apr,2021,Apr_2021,202104,0.54,13.716,36.576,345.44
May,2021,May_2021,202105,2.24,56.896,93.472,345.44
Jun,2021,Jun_2021,202106,0.39,9.906,103.378,345.44
Jul,2021,Jul_2021,202107,0.82,20.828,124.206,345.44
Aug,2021,Aug_2021,202108,1.7,43.18,167.386,345.44
Sep,2021,Sep_2021,202109,0.57,14.478,181.864,345.44
Oct,2021,Oct_2021,202110,2.52,64.008,245.872,345.44
Nov,2021,Nov_2021,202111,0.07,1.778,247.65,345.44
Dec,2021,Dec_2021,202112,0.39,9.906,257.556,345.44
