"site","year","block","plot","avg_brome_kg_h","paddock","drought","grazing_category","grazing_treatment","livestock_util_2019","livestock_util_2020","livestock_util_2021"
"TB",2018,1,1,0,2,75,"HHMMM","heavy",70,70,50
"TB",2018,1,2,30,2,99,"HHMMM","heavy",70,70,50
"TB",2018,1,3,200,2,0,"HHMMM","heavy",70,70,50
"TB",2018,1,4,36,2,0,"HHMMM","heavy",70,70,50
"TB",2018,1,5,380,2,50,"HHMMM","heavy",70,70,50
"TB",2018,1,6,765,2,25,"HHMMM","heavy",70,70,50
"TB",2018,1,7,109.5,3,0,"MLLMM","destock",50,30,30
"TB",2018,1,8,5,3,75,"MLLMM","destock",50,30,30
"TB",2018,1,9,0,3,0,"MLLMM","destock",50,30,30
"TB",2018,1,10,62,3,99,"MLLMM","destock",50,30,30
"TB",2018,1,11,20,3,50,"MLLMM","destock",50,30,30
"TB",2018,1,12,2.5,3,25,"MLLMM","destock",50,30,30
"TB",2018,1,13,135,1,50,"MMMMM","stable",50,50,50
"TB",2018,1,14,42.5,1,75,"MMMMM","stable",50,50,50
"TB",2018,1,15,72,1,0,"MMMMM","stable",50,50,50
"TB",2018,1,16,295,1,25,"MMMMM","stable",50,50,50
"TB",2018,1,17,277.5,1,0,"MMMMM","stable",50,50,50
"TB",2018,1,18,87.5,1,99,"MMMMM","stable",50,50,50
"TB",2018,2,19,7.5,2,50,"HHMMM","heavy",70,70,50
"TB",2018,2,20,5,2,0,"HHMMM","heavy",70,70,50
"TB",2018,2,21,20,2,99,"HHMMM","heavy",70,70,50
"TB",2018,2,22,5,2,75,"HHMMM","heavy",70,70,50
"TB",2018,2,23,7,2,0,"HHMMM","heavy",70,70,50
"TB",2018,2,24,250,2,25,"HHMMM","heavy",70,70,50
"TB",2018,2,25,12.5,1,0,"MMMMM","stable",50,50,50
"TB",2018,2,26,0,1,75,"MMMMM","stable",50,50,50
"TB",2018,2,27,0,1,50,"MMMMM","stable",50,50,50
"TB",2018,2,28,2.5,1,99,"MMMMM","stable",50,50,50
"TB",2018,2,29,0,1,0,"MMMMM","stable",50,50,50
"TB",2018,2,30,0,1,25,"MMMMM","stable",50,50,50
"TB",2018,2,31,2.5,3,99,"MLLMM","destock",50,30,30
"TB",2018,2,32,1,3,25,"MLLMM","destock",50,30,30
"TB",2018,2,33,5,3,75,"MLLMM","destock",50,30,30
"TB",2018,2,34,2,3,0,"MLLMM","destock",50,30,30
"TB",2018,2,35,15,3,50,"MLLMM","destock",50,30,30
"TB",2018,2,36,2,3,0,"MLLMM","destock",50,30,30
"TB",2018,3,37,7.5,3,75,"MLLMM","destock",50,30,30
"TB",2018,3,38,70,3,25,"MLLMM","destock",50,30,30
"TB",2018,3,39,132.5,3,0,"MLLMM","destock",50,30,30
"TB",2018,3,40,171.5,3,99,"MLLMM","destock",50,30,30
"TB",2018,3,41,282.5,3,0,"MLLMM","destock",50,30,30
"TB",2018,3,42,17.5,3,50,"MLLMM","destock",50,30,30
"TB",2018,3,43,47.5,2,0,"HHMMM","heavy",70,70,50
"TB",2018,3,44,12.5,2,25,"HHMMM","heavy",70,70,50
"TB",2018,3,45,32,2,50,"HHMMM","heavy",70,70,50
"TB",2018,3,46,74.5,2,75,"HHMMM","heavy",70,70,50
"TB",2018,3,47,41,2,99,"HHMMM","heavy",70,70,50
"TB",2018,3,48,17.5,2,0,"HHMMM","heavy",70,70,50
"TB",2018,3,49,55,1,50,"MMMMM","stable",50,50,50
"TB",2018,3,50,79,1,25,"MMMMM","stable",50,50,50
"TB",2018,3,51,55,1,99,"MMMMM","stable",50,50,50
"TB",2018,3,52,15.5,1,0,"MMMMM","stable",50,50,50
"TB",2018,3,53,42.5,1,0,"MMMMM","stable",50,50,50
"TB",2018,3,54,20,1,75,"MMMMM","stable",50,50,50
"TB",2019,1,1,1286,2,75,"HHMMM","heavy",70,70,50
"TB",2019,1,2,30,2,99,"HHMMM","heavy",70,70,50
"TB",2019,1,3,9,2,0,"HHMMM","heavy",70,70,50
"TB",2019,1,4,385,2,0,"HHMMM","heavy",70,70,50
"TB",2019,1,5,675,2,50,"HHMMM","heavy",70,70,50
"TB",2019,1,6,305,2,25,"HHMMM","heavy",70,70,50
"TB",2019,1,7,660,3,0,"MLLMM","destock",50,30,30
"TB",2019,1,8,11,3,75,"MLLMM","destock",50,30,30
"TB",2019,1,9,4,3,0,"MLLMM","destock",50,30,30
"TB",2019,1,10,19,3,99,"MLLMM","destock",50,30,30
"TB",2019,1,11,190,3,50,"MLLMM","destock",50,30,30
"TB",2019,1,12,25,3,25,"MLLMM","destock",50,30,30
"TB",2019,1,13,250,1,50,"MMMMM","stable",50,50,50
"TB",2019,1,14,545,1,75,"MMMMM","stable",50,50,50
"TB",2019,1,15,875,1,0,"MMMMM","stable",50,50,50
"TB",2019,1,16,960,1,25,"MMMMM","stable",50,50,50
"TB",2019,1,17,860,1,0,"MMMMM","stable",50,50,50
"TB",2019,1,18,65,1,99,"MMMMM","stable",50,50,50
"TB",2019,2,19,1,2,50,"HHMMM","heavy",70,70,50
"TB",2019,2,20,46,2,0,"HHMMM","heavy",70,70,50
"TB",2019,2,21,0,2,99,"HHMMM","heavy",70,70,50
"TB",2019,2,22,0,2,75,"HHMMM","heavy",70,70,50
"TB",2019,2,23,0,2,0,"HHMMM","heavy",70,70,50
"TB",2019,2,24,0,2,25,"HHMMM","heavy",70,70,50
"TB",2019,2,25,2,1,0,"MMMMM","stable",50,50,50
"TB",2019,2,26,3,1,75,"MMMMM","stable",50,50,50
"TB",2019,2,27,1,1,50,"MMMMM","stable",50,50,50
"TB",2019,2,28,0,1,99,"MMMMM","stable",50,50,50
"TB",2019,2,29,9,1,0,"MMMMM","stable",50,50,50
"TB",2019,2,30,7,1,25,"MMMMM","stable",50,50,50
"TB",2019,2,31,18,3,99,"MLLMM","destock",50,30,30
"TB",2019,2,32,0,3,25,"MLLMM","destock",50,30,30
"TB",2019,2,33,120,3,75,"MLLMM","destock",50,30,30
"TB",2019,2,34,0,3,0,"MLLMM","destock",50,30,30
"TB",2019,2,35,16,3,50,"MLLMM","destock",50,30,30
"TB",2019,2,36,0,3,0,"MLLMM","destock",50,30,30
"TB",2019,3,37,4,3,75,"MLLMM","destock",50,30,30
"TB",2019,3,38,70,3,25,"MLLMM","destock",50,30,30
"TB",2019,3,39,31,3,0,"MLLMM","destock",50,30,30
"TB",2019,3,40,295,3,99,"MLLMM","destock",50,30,30
"TB",2019,3,41,350,3,0,"MLLMM","destock",50,30,30
"TB",2019,3,42,315,3,50,"MLLMM","destock",50,30,30
"TB",2019,3,43,41,2,0,"HHMMM","heavy",70,70,50
"TB",2019,3,44,260,2,25,"HHMMM","heavy",70,70,50
"TB",2019,3,45,10,2,50,"HHMMM","heavy",70,70,50
"TB",2019,3,46,29,2,75,"HHMMM","heavy",70,70,50
"TB",2019,3,47,17,2,99,"HHMMM","heavy",70,70,50
"TB",2019,3,48,4,2,0,"HHMMM","heavy",70,70,50
"TB",2019,3,49,100,1,50,"MMMMM","stable",50,50,50
"TB",2019,3,50,180,1,25,"MMMMM","stable",50,50,50
"TB",2019,3,51,110,1,99,"MMMMM","stable",50,50,50
"TB",2019,3,52,120,1,0,"MMMMM","stable",50,50,50
"TB",2019,3,53,24,1,0,"MMMMM","stable",50,50,50
"TB",2019,3,54,15,1,75,"MMMMM","stable",50,50,50
"TB",2020,1,1,17,2,75,"HHMMM","heavy",70,70,50
"TB",2020,1,2,7,2,99,"HHMMM","heavy",70,70,50
"TB",2020,1,3,8,2,0,"HHMMM","heavy",70,70,50
"TB",2020,1,4,197.5,2,0,"HHMMM","heavy",70,70,50
"TB",2020,1,5,342.5,2,50,"HHMMM","heavy",70,70,50
"TB",2020,1,6,233,2,25,"HHMMM","heavy",70,70,50
"TB",2020,1,7,122,3,0,"MLLMM","destock",50,30,30
"TB",2020,1,8,8.5,3,75,"MLLMM","destock",50,30,30
"TB",2020,1,9,0,3,0,"MLLMM","destock",50,30,30
"TB",2020,1,10,4.5,3,99,"MLLMM","destock",50,30,30
"TB",2020,1,11,4,3,50,"MLLMM","destock",50,30,30
"TB",2020,1,12,2,3,25,"MLLMM","destock",50,30,30
"TB",2020,1,13,388.5,1,50,"MMMMM","stable",50,50,50
"TB",2020,1,14,15,1,75,"MMMMM","stable",50,50,50
"TB",2020,1,15,436.5,1,0,"MMMMM","stable",50,50,50
"TB",2020,1,16,157.5,1,25,"MMMMM","stable",50,50,50
"TB",2020,1,17,22,1,0,"MMMMM","stable",50,50,50
"TB",2020,1,18,67.5,1,99,"MMMMM","stable",50,50,50
"TB",2020,2,19,5.5,2,50,"HHMMM","heavy",70,70,50
"TB",2020,2,20,1,2,0,"HHMMM","heavy",70,70,50
"TB",2020,2,21,0,2,99,"HHMMM","heavy",70,70,50
"TB",2020,2,22,0.5,2,75,"HHMMM","heavy",70,70,50
"TB",2020,2,23,0.5,2,0,"HHMMM","heavy",70,70,50
"TB",2020,2,24,0,2,25,"HHMMM","heavy",70,70,50
"TB",2020,2,25,2,1,0,"MMMMM","stable",50,50,50
"TB",2020,2,26,0,1,75,"MMMMM","stable",50,50,50
"TB",2020,2,27,0,1,50,"MMMMM","stable",50,50,50
"TB",2020,2,28,0,1,99,"MMMMM","stable",50,50,50
"TB",2020,2,29,0,1,0,"MMMMM","stable",50,50,50
"TB",2020,2,30,0.5,1,25,"MMMMM","stable",50,50,50
"TB",2020,2,31,0,3,99,"MLLMM","destock",50,30,30
"TB",2020,2,32,1.5,3,25,"MLLMM","destock",50,30,30
"TB",2020,2,33,1,3,75,"MLLMM","destock",50,30,30
"TB",2020,2,34,0,3,0,"MLLMM","destock",50,30,30
"TB",2020,2,35,0,3,50,"MLLMM","destock",50,30,30
"TB",2020,2,36,0,3,0,"MLLMM","destock",50,30,30
"TB",2020,3,37,0,3,75,"MLLMM","destock",50,30,30
"TB",2020,3,38,17,3,25,"MLLMM","destock",50,30,30
"TB",2020,3,39,7,3,0,"MLLMM","destock",50,30,30
"TB",2020,3,40,9.5,3,99,"MLLMM","destock",50,30,30
"TB",2020,3,41,13,3,0,"MLLMM","destock",50,30,30
"TB",2020,3,42,19.5,3,50,"MLLMM","destock",50,30,30
"TB",2020,3,43,34,2,0,"HHMMM","heavy",70,70,50
"TB",2020,3,44,0,2,25,"HHMMM","heavy",70,70,50
"TB",2020,3,45,0,2,50,"HHMMM","heavy",70,70,50
"TB",2020,3,46,0,2,75,"HHMMM","heavy",70,70,50
"TB",2020,3,47,0,2,99,"HHMMM","heavy",70,70,50
"TB",2020,3,48,0,2,0,"HHMMM","heavy",70,70,50
"TB",2020,3,49,14.5,1,50,"MMMMM","stable",50,50,50
"TB",2020,3,50,12.5,1,25,"MMMMM","stable",50,50,50
"TB",2020,3,51,6.5,1,99,"MMMMM","stable",50,50,50
"TB",2020,3,52,15.5,1,0,"MMMMM","stable",50,50,50
"TB",2020,3,53,7.5,1,0,"MMMMM","stable",50,50,50
"TB",2020,3,54,5.5,1,75,"MMMMM","stable",50,50,50
"TB",2021,1,1,185.5,2,75,"HHMMM","heavy",70,70,50
"TB",2021,1,2,15.5,2,99,"HHMMM","heavy",70,70,50
"TB",2021,1,3,10,2,0,"HHMMM","heavy",70,70,50
"TB",2021,1,4,173,2,0,"HHMMM","heavy",70,70,50
"TB",2021,1,5,241.5,2,50,"HHMMM","heavy",70,70,50
"TB",2021,1,6,374.5,2,25,"HHMMM","heavy",70,70,50
"TB",2021,1,7,165.5,3,0,"MLLMM","destock",50,30,30
"TB",2021,1,8,17.5,3,75,"MLLMM","destock",50,30,30
"TB",2021,1,9,0,3,0,"MLLMM","destock",50,30,30
"TB",2021,1,10,21,3,99,"MLLMM","destock",50,30,30
"TB",2021,1,11,95.5,3,50,"MLLMM","destock",50,30,30
"TB",2021,1,12,20.5,3,25,"MLLMM","destock",50,30,30
"TB",2021,1,13,24.5,1,50,"MMMMM","stable",50,50,50
"TB",2021,1,14,23.5,1,75,"MMMMM","stable",50,50,50
"TB",2021,1,15,560,1,0,"MMMMM","stable",50,50,50
"TB",2021,1,16,500,1,25,"MMMMM","stable",50,50,50
"TB",2021,1,17,142,1,0,"MMMMM","stable",50,50,50
"TB",2021,1,18,45.5,1,99,"MMMMM","stable",50,50,50
"TB",2021,2,19,63,2,50,"HHMMM","heavy",70,70,50
"TB",2021,2,20,8.5,2,0,"HHMMM","heavy",70,70,50
"TB",2021,2,21,0,2,99,"HHMMM","heavy",70,70,50
"TB",2021,2,22,0,2,75,"HHMMM","heavy",70,70,50
"TB",2021,2,23,0.5,2,0,"HHMMM","heavy",70,70,50
"TB",2021,2,24,0,2,25,"HHMMM","heavy",70,70,50
"TB",2021,2,25,0.5,1,0,"MMMMM","stable",50,50,50
"TB",2021,2,26,0,1,75,"MMMMM","stable",50,50,50
"TB",2021,2,27,0,1,50,"MMMMM","stable",50,50,50
"TB",2021,2,28,0,1,99,"MMMMM","stable",50,50,50
"TB",2021,2,29,2,1,0,"MMMMM","stable",50,50,50
"TB",2021,2,30,8,1,25,"MMMMM","stable",50,50,50
"TB",2021,2,31,0,3,99,"MLLMM","destock",50,30,30
"TB",2021,2,32,0,3,25,"MLLMM","destock",50,30,30
