"date","year","month","site","plot","species","pct_green","block","paddock","drought","grazing_category","grazing_treatment","livestock_util_2019","livestock_util_2020","livestock_util_2021"
2019-04-17,2019,4,"TB",1,"BRAR_pct_green",100,1,2,75,"HHMMM","heavy",70,70,50
2019-04-17,2019,4,"TB",2,"BRAR_pct_green",100,1,2,99,"HHMMM","heavy",70,70,50
2019-04-17,2019,4,"TB",3,"BRAR_pct_green",100,1,2,0,"HHMMM","heavy",70,70,50
2019-04-17,2019,4,"TB",4,"BRAR_pct_green",100,1,2,0,"HHMMM","heavy",70,70,50
2019-04-17,2019,4,"TB",5,"BRAR_pct_green",100,1,2,50,"HHMMM","heavy",70,70,50
2019-04-17,2019,4,"TB",6,"BRAR_pct_green",100,1,2,25,"HHMMM","heavy",70,70,50
2019-04-17,2019,4,"TB",7,"BRAR_pct_green",100,1,3,0,"MLLMM","destock",50,30,30
2019-04-17,2019,4,"TB",8,"BRAR_pct_green",100,1,3,75,"MLLMM","destock",50,30,30
2019-04-17,2019,4,"TB",9,"BRAR_pct_green",NA,1,3,0,"MLLMM","destock",50,30,30
2019-04-17,2019,4,"TB",10,"BRAR_pct_green",100,1,3,99,"MLLMM","destock",50,30,30
2019-04-17,2019,4,"TB",11,"BRAR_pct_green",100,1,3,50,"MLLMM","destock",50,30,30
2019-04-17,2019,4,"TB",12,"BRAR_pct_green",100,1,3,25,"MLLMM","destock",50,30,30
2019-04-17,2019,4,"TB",13,"BRAR_pct_green",100,1,1,50,"MMMMM","stable",50,50,50
2019-04-17,2019,4,"TB",14,"BRAR_pct_green",100,1,1,75,"MMMMM","stable",50,50,50
2019-04-17,2019,4,"TB",15,"BRAR_pct_green",100,1,1,0,"MMMMM","stable",50,50,50
2019-04-17,2019,4,"TB",16,"BRAR_pct_green",100,1,1,25,"MMMMM","stable",50,50,50
2019-04-17,2019,4,"TB",17,"BRAR_pct_green",100,1,1,0,"MMMMM","stable",50,50,50
2019-04-17,2019,4,"TB",18,"BRAR_pct_green",100,1,1,99,"MMMMM","stable",50,50,50
