month,year,month_year,Date,value,precip_mm,cumm,yr30
Jan,2019,Jan_2019,201901,0.5,12.7,12.7,366.268
Feb,2019,Feb_2019,201902,0.33,8.382,21.082,366.268
Mar,2019,Mar_2019,201903,1.2,30.48,51.562,366.268
Apr,2019,Apr_2019,201904,1.3,33.02,84.582,366.268
May,2019,May_2019,201905,4.08,103.632,188.214,366.268
Jun,2019,Jun_2019,201906,1.91,48.514,236.728,366.268
Jul,2019,Jul_2019,201907,1.32,33.528,270.256,366.268
Aug,2019,Aug_2019,201908,1.52,38.608,308.864,366.268
Sep,2019,Sep_2019,201909,0.88,22.352,331.216,366.268
Oct,2019,Oct_2019,201910,1.11,28.194,359.41,366.268
Nov,2019,Nov_2019,201911,0.87,22.098,381.508,366.268
Dec,2019,Dec_2019,201912,0.36,9.144,390.652,366.268
Jan,2020,Jan_2020,202001,0.45,11.43,11.43,366.268
Feb,2020,Feb_2020,202002,0.79,20.066,31.496,366.268
Mar,2020,Mar_2020,202003,0.58,14.732,46.228,366.268
Apr,2020,Apr_2020,202004,1.2,30.48,76.708,366.268
May,2020,May_2020,202005,1.3,33.02,109.728,366.268
Jun,2020,Jun_2020,202006,1,25.4,135.128,366.268
Jul,2020,Jul_2020,202007,0.75,19.05,154.178,366.268
Aug,2020,Aug_2020,202008,0.28,7.112,161.29,366.268
Sep,2020,Sep_2020,202009,0.92,23.368,184.658,366.268
Oct,2020,Oct_2020,202010,0.67,17.018,201.676,366.268
Nov,2020,Nov_2020,202011,0.09,2.286,203.962,366.268
Dec,2020,Dec_2020,202012,0.49,12.446,216.408,366.268
Jan,2021,Jan_2021,202101,0.38,9.652,9.652,366.268
Feb,2021,Feb_2021,202102,0.54,13.716,23.368,366.268
Mar,2021,Mar_2021,202103,1.78,45.212,68.58,366.268
Apr,2021,Apr_2021,202104,0.91,23.114,91.694,366.268
May,2021,May_2021,202105,1.1,27.94,119.634,366.268
Jun,2021,Jun_2021,202106,1.31,33.274,152.908,366.268
Jul,2021,Jul_2021,202107,2.08,52.832,205.74,366.268
Aug,2021,Aug_2021,202108,1.09,27.686,233.426,366.268
Sep,2021,Sep_2021,202109,1.34,34.036,267.462,366.268
Oct,2021,Oct_2021,202110,1.94,49.276,316.738,366.268
Nov,2021,Nov_2021,202111,0.38,9.652,326.39,366.268
Dec,2021,Dec_2021,202112,0.62,15.748,342.138,366.268
