"site","year","plot","totcov","symbol","aerial_cover","block","paddock","drought","grazing_category","grazing_treatment","livestock_util_2019","livestock_util_2020","livestock_util_2021","rel_brome_cov"
"FK",2018,1,78.5,"BRTE",0.5,"1","1",75,"MMMMM","stable",50,50,50,0.636942675159236
"FK",2018,1,78.5,"BRAR",65,"1","1",75,"MMMMM","stable",50,50,50,82.8025477707006
"FK",2018,2,110.5,"BRTE",55,"1","1",99,"MMMMM","stable",50,50,50,49.7737556561086
"FK",2018,2,110.5,"BRAR",35,"1","1",99,"MMMMM","stable",50,50,50,31.6742081447964
"FK",2018,3,85,"BRTE",0.5,"1","1",0,"MMMMM","stable",50,50,50,0.588235294117647
"FK",2018,3,85,"BRAR",45,"1","1",0,"MMMMM","stable",50,50,50,52.9411764705882
"FK",2018,4,81,"BRTE",0,"1","1",0,"MMMMM","stable",50,50,50,0
"FK",2018,4,81,"BRAR",48,"1","1",0,"MMMMM","stable",50,50,50,59.2592592592593
"FK",2018,5,88,"BRTE",0,"1","1",50,"MMMMM","stable",50,50,50,0
"FK",2018,5,88,"BRAR",45,"1","1",50,"MMMMM","stable",50,50,50,51.1363636363636
"FK",2018,6,95,"BRTE",3,"1","1",25,"MMMMM","stable",50,50,50,3.15789473684211
"FK",2018,6,95,"BRAR",30,"1","1",25,"MMMMM","stable",50,50,50,31.5789473684211
"FK",2018,7,85,"BRTE",6,"1","2",0,"HHMMM","heavy",70,70,50,7.05882352941176
"FK",2018,7,85,"BRAR",25,"1","2",0,"HHMMM","heavy",70,70,50,29.4117647058824
"FK",2018,8,116,"BRTE",75,"1","2",75,"HHMMM","heavy",70,70,50,64.6551724137931
"FK",2018,8,116,"BRAR",22,"1","2",75,"HHMMM","heavy",70,70,50,18.9655172413793
"FK",2018,9,83,"BRTE",9,"1","2",0,"HHMMM","heavy",70,70,50,10.8433734939759
"FK",2018,9,83,"BRAR",20,"1","2",0,"HHMMM","heavy",70,70,50,24.0963855421687
"FK",2018,10,75.5,"BRTE",7,"1","2",99,"HHMMM","heavy",70,70,50,9.27152317880795
"FK",2018,10,75.5,"BRAR",30,"1","2",99,"HHMMM","heavy",70,70,50,39.7350993377483
"FK",2018,11,108,"BRTE",35,"1","2",50,"HHMMM","heavy",70,70,50,32.4074074074074
"FK",2018,11,108,"BRAR",15,"1","2",50,"HHMMM","heavy",70,70,50,13.8888888888889
"FK",2018,12,112,"BRTE",50,"1","2",25,"HHMMM","heavy",70,70,50,44.6428571428571
"FK",2018,12,112,"BRAR",1,"1","2",25,"HHMMM","heavy",70,70,50,0.892857142857143
"FK",2018,13,76.5,"BRTE",0,"1","3",50,"MLLMM","destock",50,30,30,0
"FK",2018,13,76.5,"BRAR",25,"1","3",50,"MLLMM","destock",50,30,30,32.6797385620915
"FK",2018,14,60,"BRTE",0.5,"1","3",75,"MLLMM","destock",50,30,30,0.833333333333333
"FK",2018,14,60,"BRAR",15,"1","3",75,"MLLMM","destock",50,30,30,25
"FK",2018,15,74,"BRTE",0.5,"1","3",0,"MLLMM","destock",50,30,30,0.675675675675676
"FK",2018,15,74,"BRAR",40,"1","3",0,"MLLMM","destock",50,30,30,54.0540540540541
"FK",2018,16,71.5,"BRTE",35,"1","3",25,"MLLMM","destock",50,30,30,48.951048951049
"FK",2018,16,71.5,"BRAR",2,"1","3",25,"MLLMM","destock",50,30,30,2.7972027972028
"FK",2018,17,110,"BRTE",65,"1","3",0,"MLLMM","destock",50,30,30,59.0909090909091
"FK",2018,17,110,"BRAR",10,"1","3",0,"MLLMM","destock",50,30,30,9.09090909090909
"FK",2018,18,101,"BRTE",50,"1","3",99,"MLLMM","destock",50,30,30,49.5049504950495
"FK",2018,18,101,"BRAR",10,"1","3",99,"MLLMM","destock",50,30,30,9.9009900990099
"FK",2018,19,80.5,"BRTE",0,"2","1",50,"MLLMM","destock",50,30,30,0
"FK",2018,19,80.5,"BRAR",50,"2","1",50,"MLLMM","destock",50,30,30,62.111801242236
"FK",2018,20,147,"BRTE",45,"2","1",0,"MLLMM","destock",50,30,30,30.6122448979592
"FK",2018,20,147,"BRAR",40,"2","1",0,"MLLMM","destock",50,30,30,27.2108843537415
"FK",2018,21,79,"BRTE",0,"2","1",99,"MLLMM","destock",50,30,30,0
"FK",2018,21,79,"BRAR",35,"2","1",99,"MLLMM","destock",50,30,30,44.3037974683544
"FK",2018,22,87,"BRTE",3,"2","1",75,"MLLMM","destock",50,30,30,3.44827586206897
"FK",2018,22,87,"BRAR",35,"2","1",75,"MLLMM","destock",50,30,30,40.2298850574713
"FK",2018,23,65.5,"BRTE",0,"2","1",0,"MLLMM","destock",50,30,30,0
"FK",2018,23,65.5,"BRAR",40,"2","1",0,"MLLMM","destock",50,30,30,61.0687022900763
"FK",2018,24,68.5,"BRTE",0,"2","1",25,"MLLMM","destock",50,30,30,0
"FK",2018,24,68.5,"BRAR",35,"2","1",25,"MLLMM","destock",50,30,30,51.0948905109489
"FK",2018,25,85.5,"BRTE",3,"2","2",0,"MMMMM","stable",50,50,50,3.50877192982456
"FK",2018,25,85.5,"BRAR",25,"2","2",0,"MMMMM","stable",50,50,50,29.2397660818713
"FK",2018,26,94.5,"BRTE",0,"2","2",75,"MMMMM","stable",50,50,50,0
"FK",2018,26,94.5,"BRAR",37,"2","2",75,"MMMMM","stable",50,50,50,39.1534391534392
"FK",2018,27,70.5,"BRTE",0,"2","2",50,"MMMMM","stable",50,50,50,0
"FK",2018,27,70.5,"BRAR",28,"2","2",50,"MMMMM","stable",50,50,50,39.7163120567376
"FK",2018,28,91.5,"BRTE",3,"2","2",99,"MMMMM","stable",50,50,50,3.27868852459016
"FK",2018,28,91.5,"BRAR",35,"2","2",99,"MMMMM","stable",50,50,50,38.2513661202186
"FK",2018,29,86,"BRTE",0,"2","2",0,"MMMMM","stable",50,50,50,0
"FK",2018,29,86,"BRAR",35,"2","2",0,"MMMMM","stable",50,50,50,40.6976744186046
"FK",2018,30,76.5,"BRTE",0,"2","2",25,"MMMMM","stable",50,50,50,0
"FK",2018,30,76.5,"BRAR",13,"2","2",25,"MMMMM","stable",50,50,50,16.9934640522876
"FK",2018,31,69,"BRTE",0,"2","3",99,"HHMMM","heavy",70,70,50,0
"FK",2018,31,69,"BRAR",28,"2","3",99,"HHMMM","heavy",70,70,50,40.5797101449275
"FK",2018,32,67,"BRTE",0.5,"2","3",25,"HHMMM","heavy",70,70,50,0.746268656716418
"FK",2018,32,67,"BRAR",25,"2","3",25,"HHMMM","heavy",70,70,50,37.3134328358209
"FK",2018,33,83,"BRTE",0,"2","3",75,"HHMMM","heavy",70,70,50,0
"FK",2018,33,83,"BRAR",40,"2","3",75,"HHMMM","heavy",70,70,50,48.1927710843374
"FK",2018,34,60,"BRTE",0,"2","3",0,"HHMMM","heavy",70,70,50,0
"FK",2018,34,60,"BRAR",35,"2","3",0,"HHMMM","heavy",70,70,50,58.3333333333333
"FK",2018,35,74,"BRTE",0,"2","3",50,"HHMMM","heavy",70,70,50,0
"FK",2018,35,74,"BRAR",35,"2","3",50,"HHMMM","heavy",70,70,50,47.2972972972973
"FK",2018,36,68.5,"BRTE",0,"2","3",0,"HHMMM","heavy",70,70,50,0
"FK",2018,36,68.5,"BRAR",35,"2","3",0,"HHMMM","heavy",70,70,50,51.0948905109489
"FK",2018,37,81,"BRTE",3,"3","1",75,"MLLMM","destock",50,30,30,3.7037037037037
"FK",2018,37,81,"BRAR",50,"3","1",75,"MLLMM","destock",50,30,30,61.7283950617284
"FK",2018,38,80.5,"BRTE",0,"3","1",25,"MLLMM","destock",50,30,30,0
"FK",2018,38,80.5,"BRAR",50,"3","1",25,"MLLMM","destock",50,30,30,62.111801242236
"FK",2018,39,79.5,"BRTE",0,"3","1",0,"MLLMM","destock",50,30,30,0
"FK",2018,39,79.5,"BRAR",40,"3","1",0,"MLLMM","destock",50,30,30,50.314465408805
"FK",2018,40,98.5,"BRTE",50,"3","1",99,"MLLMM","destock",50,30,30,50.761421319797
"FK",2018,40,98.5,"BRAR",35,"3","1",99,"MLLMM","destock",50,30,30,35.5329949238579
"FK",2018,41,65,"BRTE",0,"3","1",0,"MLLMM","destock",50,30,30,0
"FK",2018,41,65,"BRAR",15,"3","1",0,"MLLMM","destock",50,30,30,23.0769230769231
"FK",2018,42,101.5,"BRTE",0,"3","1",50,"MLLMM","destock",50,30,30,0
"FK",2018,42,101.5,"BRAR",50,"3","1",50,"MLLMM","destock",50,30,30,49.2610837438424
"FK",2018,43,93.5,"BRTE",2,"3","2",0,"MMMMM","stable",50,50,50,2.13903743315508
"FK",2018,43,93.5,"BRAR",30,"3","2",0,"MMMMM","stable",50,50,50,32.0855614973262
"FK",2018,44,84.5,"BRTE",0.5,"3","2",25,"MMMMM","stable",50,50,50,0.591715976331361
"FK",2018,44,84.5,"BRAR",32,"3","2",25,"MMMMM","stable",50,50,50,37.8698224852071
"FK",2018,45,106.5,"BRTE",40,"3","2",50,"MMMMM","stable",50,50,50,37.5586854460094
"FK",2018,45,106.5,"BRAR",25,"3","2",50,"MMMMM","stable",50,50,50,23.4741784037559
"FK",2018,46,77,"BRTE",0,"3","2",75,"MMMMM","stable",50,50,50,0
"FK",2018,46,77,"BRAR",35,"3","2",75,"MMMMM","stable",50,50,50,45.4545454545455
"FK",2018,47,87.5,"BRTE",0,"3","2",99,"MMMMM","stable",50,50,50,0
"FK",2018,47,87.5,"BRAR",50,"3","2",99,"MMMMM","stable",50,50,50,57.1428571428571
"FK",2018,48,92,"BRTE",0,"3","2",0,"MMMMM","stable",50,50,50,0
"FK",2018,48,92,"BRAR",60,"3","2",0,"MMMMM","stable",50,50,50,65.2173913043478
"FK",2018,49,72.5,"BRTE",2,"3","3",50,"HHMMM","heavy",70,70,50,2.75862068965517
"FK",2018,49,72.5,"BRAR",18,"3","3",50,"HHMMM","heavy",70,70,50,24.8275862068966
"FK",2018,50,87.5,"BRTE",0.5,"3","3",25,"HHMMM","heavy",70,70,50,0.571428571428571
"FK",2018,50,87.5,"BRAR",29,"3","3",25,"HHMMM","heavy",70,70,50,33.1428571428571
"FK",2018,51,104.5,"BRTE",0,"3","3",99,"HHMMM","heavy",70,70,50,0
"FK",2018,51,104.5,"BRAR",40,"3","3",99,"HHMMM","heavy",70,70,50,38.2775119617225
"FK",2018,52,98.5,"BRTE",0,"3","3",0,"HHMMM","heavy",70,70,50,0
"FK",2018,52,98.5,"BRAR",43,"3","3",0,"HHMMM","heavy",70,70,50,43.6548223350254
"FK",2018,53,73.5,"BRTE",0,"3","3",0,"HHMMM","heavy",70,70,50,0
"FK",2018,53,73.5,"BRAR",52,"3","3",0,"HHMMM","heavy",70,70,50,70.7482993197279
"FK",2018,54,83.5,"BRTE",0,"3","3",75,"HHMMM","heavy",70,70,50,0
"FK",2018,54,83.5,"BRAR",37,"3","3",75,"HHMMM","heavy",70,70,50,44.311377245509
"FK",2019,1,81.75,"BRAR",55,"1","1",75,"MMMMM","stable",50,50,50,67.2782874617737
"FK",2019,1,81.75,"BRTE",0,"1","1",75,"MMMMM","stable",50,50,50,0
"FK",2019,2,56.5,"BRAR",35,"1","1",99,"MMMMM","stable",50,50,50,61.9469026548673
"FK",2019,2,56.5,"BRTE",1,"1","1",99,"MMMMM","stable",50,50,50,1.76991150442478
"FK",2019,3,80.75,"BRAR",50,"1","1",0,"MMMMM","stable",50,50,50,61.9195046439629
"FK",2019,3,80.75,"BRTE",0,"1","1",0,"MMMMM","stable",50,50,50,0
"FK",2019,4,63.25,"BRAR",30,"1","1",0,"MMMMM","stable",50,50,50,47.4308300395257
"FK",2019,4,63.25,"BRTE",0,"1","1",0,"MMMMM","stable",50,50,50,0
"FK",2019,5,68.75,"BRAR",25,"1","1",50,"MMMMM","stable",50,50,50,36.3636363636364
"FK",2019,5,68.75,"BRTE",0,"1","1",50,"MMMMM","stable",50,50,50,0
"FK",2019,6,60.5,"BRAR",40,"1","1",25,"MMMMM","stable",50,50,50,66.1157024793389
"FK",2019,6,60.5,"BRTE",2,"1","1",25,"MMMMM","stable",50,50,50,3.30578512396694
